a|يك(n;0.5)
responsibility|عهده(n;0.5),مسئوليت(n;0.25),جوابگو(n;0.25)
responsible|عهده دار(j;0.5),مسئوليت(j;0.25),مسئوليت دار(j;0.25),معتبر(j;0.25),ابرومند(j;0.25)
responsibly|مسئولانه(n;0.75)
restart|شروع دوباره(n;0.5),باز اغازي(n;0.5),باز اغازيدن(v;0.5)
restaurant|رستور(n;0.75),كافه(n;0.5),بار(n;0.25),ميخانه(n;0.25)
restore|بازگرداندن(n;0.75)
restrict|محدود كردن(v;0.75),منحصركردن به(v;0.25)
restructuring|بازسازي(n;0.75)
result|نتيجه(n;0.75),اثر(n;0.5),حاصل(n;0.5),پي امد(n;0.25),دست اورد(n;0.25),بر امد(n;0.25),منجر شدن(v;0.25),منتج شدن(v;0.25),نتيجه دادن(v;0.25)
resultant|حاصل(n;0.75),بردار(n;0.5),منتجه(j;0.5),پربرايند(j;0.5),منتج شدن(j;0.5),بر ايند(j;0.5)
resuming|از سرگيري(n;0.75)
retail|خردن فروشي(n;0.75),خرده فروشي كردن(v;0.25),جز(j;0.25),جز(j;0.25)
retailing|خردن فروشي(n;0.75)
retain|حفظ كردن(v;0.5),نگه داشتن(v;0.5),ابقا كردن(v;0.25),نگاه داشتن(v;0.25),از دست ندادن(v;0.25)
retard|بتعويق انداختن(v;0.5),تاخير كردن(v;0.5),كردن ساختن(v;0.5),دير كار(n;0.5)
retirement|بازنشسته(n;0.75),خلوت(n;0.25),انفصال(n;0.25)
return|عودت(n;0.75),برگشت(n;0.5),مراجعت(n;0.25),رجعت(n;0.25),اعادن(n;0.25),باز گشت(n;0.25),بازگشتن(n;0.25),برگشتن(v;0.5),برگشت دادن(v;0.25),عود كردن(v;0.25),پس دادن(v;0.25),مراجعت كردن(v;0.25),عطف كردن(v;0.25),بر گرداندن(v;0.25)
rev|تند گشتن(v;0.5),دور برداشتن(v;0.5)
reveal|فاش كردن(v;0.5),ظاهركردن(v;0.25),اشكار كردن(v;0.25),معلوم كردن(v;0.25),ظاهر ساختن(v;0.25)
revenge|انتقام(n;0.75),تلافي(n;0.5),تلافي كردن(v;0.25),انتقام كشيدن(v;0.25),خونخواهي كردن(v;0.25),كينه جو كردن(v;0.25)
revenue|عملكرد(n;0.5),درامد(n;0.5),عايدي(n;0.25),سود سهام(n;0.25),بازدن(n;0.25)
review|مرور(n;0.75),خلاصه(n;0.75),بازدن(n;0.5),تجديد نظر(n;0.5),عقيدن(n;0.25),رژه(n;0.25),نشريه(n;0.25),مجله(n;0.25),مرور كردن(v;0.25),دوره كردن(v;0.25),سان ديدن(v;0.25),بازدن كردن(v;0.25),انتقاد كردن(v;0.25),مقاله انتقادي نوشتن(v;0.25)
revision|تجدن نظر(n;0.75),اصلاح(n;0.5),مرور(n;0.5),باز يندن(n;0.25),بازدن(n;0.25),چاپ تازه(n;0.25),چاپ اصلاح شدن(n;0.25),رسيده ثانو(n;0.25)
revive|احيا(n;0.75),زنده شدن(v;0.5),بهوش اوردن(v;0.25),دوباره داير شدن(v;0.25),دوباره رواج پيدا كردن(v;0.25),نيرو تازه دادن(v;0.25),احيا كردن(v;0.25),احيا شدن(v;0.25),باز جان بخشيدن(v;0.25),بهوش امدن(v;0.25)
revolution|انقلاب(n;0.75),دور(n;0.25),دوران كامل(n;0.25),دور موتور(n;0.25),گردش(n;0.25),چرخش(n;0.25),واگشت(n;0.25),شورش(n;0.25),اشوب(n;0.25),حركت انقلابي(n;0.25),دوران(n;0.25)
reward|پاداش(n;0.75),جايزه(n;0.75),انعام(n;0.5),اجر(n;0.5),مزد(n;0.5),عوض(n;0.5),سزا(n;0.25),مژدگاني(n;0.25),پاداش دادن(v;0.5),عوض دادن(v;0.25),سزا دادن(v;0.25),اجر دادن(v;0.25)
rheumatism|روماتيسم(n;0.75),ريزش(n;0.5),مرض رماتيسم(n;0.5)
rib|دندن(n;0.75),گوشت دنده(n;0.5),ضلع(n;0.5),هر چيز شبيه دنده(n;0.5),تكه گوشت دندهدار(n;0.5),نهر كندن(n;0.5),دنده دار كردن(v;0.5),پشت بند زدن(v;0.5),مرز گذاشتن(v;0.5),شيار دار كردن(v;0.5)
rice|برنج(n;0.75),دانه برنج(n;0.25),برنجي(j;0.25)
rich|غني(j;0.75),حاصلخيز(j;0.25),نفيس(j;0.25),توانگر(j;0.25),دولتمند(j;0.25),گرانب(j;0.25),پر پشت(j;0.25),زيادن چرب يا شيرين(j;0.25),بانوا(j;0.25),فاخر(j;0.25),با شكوه(j;0.25)
richard|ريچارد(n;0.75)
rictus|چاك دهان(n;0.75),گشادي دهان(n;0.75),چاك دهان پرنده(n;0.75)
rid|رهانيدن از(v;0.5)
ride|سواري(n;0.75),گردش سواره(n;0.25),سوار شدن(v;0.75),سواري كردن(v;0.25),جماع كردن(v;0.25)
rider|الحاقيه(n;0.5)
ridge|خط الراس(n;0.75),لبه(n;0.75),مرز(n;0.5),سلسله(n;0.5),سلسله كوه(n;0.5),نوك(n;0.5),بر امده(n;0.5),مرز نديدن كردن(v;0.5),شيار دار كردن(v;0.5)
ridiculous|مضحك(j;0.75),خنده دار(j;0.5),مسخره اميز(j;0.25),چرند(j;0.25)
riding|سواري(n;0.75),گردش و مسافرت(n;0.25),لنگر گاه(n;0.25),بخش(n;0.25)
rifle|تفنگ(n;0.75),عده تفنگدار(n;0.25),دزديدن(v;0.25),لخت كردن(v;0.25)
rig|اسباب(n;0.75),لوازم(n;0.5),جامه(n;0.75),وضع حاضر(n;0.5),دگل ارا(n;0.5),لباس(n;0.25),تجهيزات(n;0.25),امادن شدن(v;0.75),گول زدن(v;0.5),مسلح كردن(v;0.5),بادگل و بادب اراستن(v;0.5),مجهز كردن(v;0.5),با خدعه و فريب درست كردن(v;0.25)
right|راست(j;0.75),درست(j;0.75),صحيح(j;0.5),محقق(j;0.25),قائم(j;0.25),ذيحق(j;0.25),واقعي(j;0.25),بجا(j;0.25),درست كار(j;0.25),حق(n;0.75),درست كردن(v;0.25),اصلاح كردن(v;0.25),دفع ستم كردن از(v;0.25),درست شدن(v;0.25),قائم گاداشتن(v;0.25),در سمت راست(d;0.25)
righteousness|عدالت(n;0.75)
rightly|بطور صحيح(d;0.5)
rigorous|سخت(j;0.75),شدن(j;0.5),خيلي دقيق(j;0.25)
ringed|حلقه دار(n;0.75)
riot|شورش(n;0.75),طغيان(n;0.5),فتنه(n;0.5),بلوا(n;0.5),غوغا(n;0.5),دادن و يدادن(n;0.5),ياغيگري(n;0.5),اشوب(n;0.5),عياشي كردن(v;0.5),شورش كردن(v;0.5),خوش گذراني كردن(v;0.5)
rip|پاره كردن(v;0.75),شكافتن(v;0.5),دريدن(v;0.5),شكاف(n;0.5),چاك(n;0.5)
rise|بالا امدن(v;0.75),بالا رفتن(v;0.5),برخاستن(v;0.5),خاستن(v;0.25),برامدن(v;0.25),طالع شدن(v;0.25),ترقي كردن(v;0.25),لندن شدن(v;0.25),از خواب برخاستن(v;0.25),طغيان كردن(v;0.25),طلوع كردن(v;0.25),سربالا رفتن(v;0.25),صعود كردن(v;0.25),ناشي شدن از(v;0.25),صعود(n;0.5),طلوع(n;0.5),قيام(n;0.5),پيشرفت(n;0.5),ترقي(n;0.5),فراز(n;0.5),ترقي خيز(n;0.25),سر بالا(n;0.25)
risk|خطر(n;0.75),ريسك(n;0.75),مخاطره(n;0.5),احتمال زيان و ضرر(n;0.25),گشاد بازي(n;0.25),بخطر انداختن(v;0.25)
ritualism|تشريفات دوستن(n;0.75)
rival|رقيب(n;0.75),حريف(n;0.5),سبقت گير(n;0.25),هم چشمي كنندن(n;0.25),هم چشمي(n;0.25),هماورد(j;0.5),هم چشم(j;0.25),نظير(j;0.25),شبيه(j;0.25),رقابت كردن(v;0.25)
river|رودخانه(n;0.75),رود(n;0.75)
rna|RNA(n;0.75)
road|جادن(n;0.75),راه(n;0.75),مسير(n;0.5),خياب(n;0.5),طريق(n;0.25),راه اهن(n;0.25),خط(n;0.25),بجادن(j;0.25)
roam|پرسه زدن(v;0.75),گشتن(v;0.75),سير كردن(v;0.75),گرديدن(v;0.75),سر گرداني(n;0.75),غربت(n;0.75)
roar|سر و صدا(n;0.75),غرش(n;0.75),صدا(n;0.75),خروش(n;0.5),بانگ(n;0.5),غريو(n;0.5),توف(n;0.5),خروشيدن(v;0.5),غرش كردن(v;0.5),غريدن(v;0.5),دادن زدن(v;0.5),دادن كشيدن(v;0.5),خرناس كشيدن(v;0.5)
robber|دزد(n;0.75),غارتگر(n;0.75),چپاولگر(n;0.5),راهزن(n;0.75),سارق مسلح(n;0.5),قاطع الطريق(n;0.5)
robbery|سرقت(n;0.75),دزدي(n;0.75),دستبرد(n;0.5),غارت(n;0.5),راه زني(n;0.5),غارتگري(n;0.25)
robbing|سرقت(n;0.75)
robot|ربات(n;0.75)
roche|روشه(n;0.75)
rock|سنگ(n;0.75),صخره(n;0.5),تخته سنگ(n;0.5),تكان(n;0.5),جنبش(n;0.5),تخته سنگ يا صخره(n;0.25),سنگ خاره(n;0.25),تكان نوساني دادن(v;0.25),جنباندن(v;0.25)
rocket|موشك(n;0.75),پرتابه(n;0.25),راكت(n;0.75),فشفشه(n;0.25),موشك يا پرتابهفضا پيما(n;0.25),با سرعت از جا جستن(v;0.25),بطور عمودي از زمين لندن شدن(v;0.25)
rogatory|rogatory(n;0.75)
role|نقش(n;0.75),وظيفه(n;0.5),رل(n;0.25)
roll|گردش(n;0.75),چرخش(n;0.5),نورد(n;0.5),فهرست(n;0.5),تمايل(n;0.25),صورت(n;0.25),غلتك(n;0.5),طومار(n;0.5),لوله(n;0.5),توپ(n;0.25),نان ساندويچي(n;0.25),ثبت(n;0.25),چيز پيچيدن(n;0.25),فرد(n;0.25),غل(n;0.25),غلتيدن(v;0.5),پيچيدن(v;0.25),غلتاندن(v;0.25),غلت دادن(v;0.25),غل دادن(v;0.25),غلتك زدن(v;0.25),گرد كردن(v;0.25),بدور انداختن(v;0.25),غلت خوردن(v;0.25),گشتن(v;0.25),تراندن(v;0.25),تر دادن(v;0.25),تلاطم داشتن(v;0.25)
roman|رومي(n;0.75)
romanian|رومانيا(n;0.75)
romanticize|داستان خيالي نوشتن(v;0.75),خيال بافي كردن(v;0.75),بصورت خيالي دراوردن(v;0.75)
rome|رم(n;0.75)
roof|سقف(n;0.75),بام(n;0.75),طاق(n;0.5),پوشش(n;0.25),بام خانه(n;0.25),مسكن(n;0.25),منزل دادن(v;0.25),طاق زدن(v;0.25),سقف دار كردن(v;0.25)
rooftop|پشت بام(n;0.75)
room|اتاق(n;0.75),خانه(n;0.5),جا(n;0.5),فضا(n;0.25),محل(n;0.25),مسكن گزيدن(v;0.25),منزل دادن به(v;0.25),وسيع كردن(v;0.25)
root|ريشه(n;0.75),اصل(n;0.25),بن(n;0.25),اصل(n;0.25),نيادن(n;0.25),بنيان(n;0.25),پايه(n;0.25),اساس(n;0.25),زمينه(n;0.25),فرزند(n;0.25),بنه(n;0.25),عنصر(n;0.25),سر چشمه(n;0.25),ريشه كن كردن(v;0.25),دادن زدن(v;0.25),از عددي ريشه گرفتن(v;0.25),ريشه دار كردن(v;0.25),پوزه بخاك ماليدن(v;0.25)
rope|طناب(n;0.75),ريسم(n;0.5),رسن(n;0.25),ريسم بادب كشي(n;0.25),با طناب بستن(v;0.25),بشكل طناب درامدن(v;0.25)
rosaline|rosaline(n;0.75)
rosemary|رزماري(n;0.75),اكليل كوهي(n;0.75)
rotation|چرخش(n;0.75),دوران(n;0.5),مقام و موقعيت چيزي را تغيير دادن(n;0.25),گردش بدور(n;0.25)
rotterdam|روتردام(n;0.75)
rouge|سرخاب(n;0.75),گرد زنگ اهن(n;0.5),غازه(n;0.5),خيط و پيت كردن(v;0.75),سرخاب زدن(v;0.5),سرخاب ماليدن(v;0.5)
round|گرد(j;0.75),مدور(j;0.5),دايره وار(j;0.25),گردي(j;0.5),بي خرده(j;0.25),مهره مانند(j;0.25),چنبري(j;0.25),گرد كردن(v;0.5),كامل كردن(v;0.25),دور زدن(v;0.25),بيخردن كردن(v;0.25),نوبت(n;0.5)
rout|بي ظم ودن اغتشاش(n;0.5),طغيان(n;0.5),جمع(n;0.5),وفور(n;0.5),گروه(n;0.25),تار و مار كردن(v;0.5),با پوزه كاويدن(v;0.5),بطور اشفتن گريزاندن(v;0.5),كاملا شكست دادن(v;0.5)
route|مسير(n;0.75),راه(n;0.75),جاده(n;0.5),خط سير(n;0.25),جريان معمولي(n;0.25),سمت(n;0.25),طرف(n;0.25),مسير چيزيرا تعيين كردن(v;0.25)
routine|روزمره(j;0.75),روال(n;0.75),امر عادي(n;0.25),كار عادي(n;0.25),جريان عادي(n;0.25),عادت جاري(n;0.25)
rover|ولگرد خانه بدوش(n;0.5),دزد دريا(n;0.5),عيار(n;0.5)
royal|سلطنتي(j;0.75),شاهانه(j;0.5),ملوكانه(j;0.5),خسرواني(j;0.25),شاهوار(j;0.25),مجلل(j;0.25),همايوني(n;0.25)
royalist|طرفدار سلطنت(n;0.75)
rucksack|ساك(n;0.75)
rule|قانون(n;0.75),حكم(n;0.5),قاعده(n;0.75),دستور(n;0.5),خط كش(n;0.5),فرمانروا(n;0.5),رسم(n;0.25),عادت(n;0.25),بربست(n;0.25),گونيا(n;0.25),فرمانفرما(n;0.25),ضابطه(n;0.25),حكومت كردن(v;0.5),مسلط شدن بر(v;0.25),حكم كردن(v;0.25),اداره كردن(v;0.25)
ruler|خط كش(n;0.75),فرمانروا(n;0.5),حكمر(n;0.5),خط(n;0.5),فرمانفرما(n;0.5),رئيس(n;0.5),سر كردن(n;0.25),سايس(n;0.25)
ruling|حكم(n;0.75),حكمراني(n;0.5),تصميم(n;0.5),فرمانروا(j;0.5),رايج(j;0.25)
rumour|شايعه(n;0.75),چو(n;0.5),چغلي(n;0.5),شايعه گفتن و يا پخش كردن(v;0.25)
run|دويدن(v;0.5),راندن(v;0.25),پيمودن(v;0.25),داير بودن(v;0.25),پخش شدن(v;0.25),اداره كردن(v;0.25),جاري شدن(v;0.25),دوام يافتن(v;0.25),ادامه دادن(v;0.25),نشان دادن(v;0.25),پوييدن(v;0.25),رانش(n;0.5),تك(n;0.25),رديف(n;0.25),سلسله(n;0.25),ترتيب(n;0.25),محوطه(n;0.25),حد(n;0.25),سفر و گردش(n;0.25),امتداد(n;0.25),رد پا(n;0.25)
rural|روستا(j;0.75),رعيتي(j;0.25)
rush|يورش(n;0.5),حمله(n;0.5),يك پر كاه(n;0.5),تعجيل(n;0.5),جويبار(n;0.5),ازدحام مردم(n;0.5),فشار(n;0.25),ني بوريا(n;0.25),بوريا(n;0.25),نوع گياه خانوادن سمار(n;0.25),حركت شدن(n;0.25),جو(n;0.25),خيز(n;0.25),هجوم بردن(v;0.5),برسر چيزي پريدن(v;0.25),خيز زدن(v;0.25)
russia|روسيه(n;0.75)
russian|روسي(j;0.75),زبان روسي(n;0.5),اهل روسيه(n;0.25)
rut|شهوت(n;0.5),عادت(n;0.5),گرمي(n;0.5),رد جاده(n;0.5),خط(n;0.25),خط شيار(n;0.5),اثر(n;0.25),روش(n;0.25),مست شهوت شدن(v;0.5),شيار دار كردن(v;0.5),گشن امدن(v;0.5),شور پيدا كردن(v;0.5),خط انداختن(v;0.5),فحل شدن(v;0.5)
ryehill|ryehill(n;0.75)
s|بازدن كننده(n;0.75)
sablich|sablich(n;0.75)
sabotage|خرابكاري(n;0.75),كارشكني و خرابكاري(n;0.5),خرابكاري عمدي(n;0.5),خرابكاري كردن(v;0.5)
sacrament|رسم ديني(n;0.75),ايين ديني(n;0.75),نشانه(n;0.75),سوگند ملايم(n;0.5)
sacrifice|قرباني(n;0.75),فدا(n;0.75),فديه(n;0.25),قرباني براي شفاعت(n;0.25),قرباني كردن جانبازي(n;0.25),فدا كردن(v;0.5),قرباني دادن(v;0.5),ذبح كردن(v;0.25)
sacroiliac|خاصر خاجي(j;0.75)
sadness|غمگيني(n;0.5),سوگ(n;0.5),خفه(n;0.25),ژنديدن(n;0.25)
safe|امن(j;0.75),ايمن(j;0.75),مطمئن(j;0.5),بي خطر(j;0.5),محفوظ(j;0.5),محفوظ از خطر(j;0.25),صحيح(j;0.25),اطمين بخش(j;0.25),صدمه نخوردن(j;0.25),گاو صندوق(n;0.25)
safely|با خيال راحت(n;0.75)
safety|امنيت(n;0.75),ايمني(n;0.75),سلامت(n;0.5),بي خطري(n;0.25),محفوظيت(n;0.25)
saint|مقدس(j;0.75),فرشتن(n;0.5),ادم پرهيز كار(n;0.5),مقدس شمردن(v;0.5)
salary|حقوق(n;0.75),مواجب(n;0.5),شهريه(n;0.5)
sale|فروش(n;0.75),حراج(n;0.5),بازار فروش(n;0.25)
salerno|سالرنو(n;0.75)
salesman|فروشتن(n;0.75),فروختن سيار(n;0.5),ويزيتور(n;0.5)
salford|سالفورد(n;0.75)
salmonella|سالمونلا(n;0.75)
salvation|رستگاري(n;0.75),نجات(n;0.75),رها(n;0.5),سبب نجات(n;0.25)
same|هم(j;0.75),يكسان(j;0.75),شبيه(j;0.5),عينا مثل هم(j;0.25),همان چيز(j;0.25),همان كار(j;0.25),همان جور(j;0.25),بهمان اندازه(j;0.25),يك نواخت(j;0.25)
sample|نمونه(n;0.75),سرمشق(n;0.25),ملاك(n;0.25),مسطوره(n;0.25),الگو(n;0.25),مدل(n;0.25),ازمون(n;0.25),واحد نمونه(n;0.25),نمونه برداشتن(v;0.25),نمونه گرفتن(v;0.25),نمونه نشان دادن(v;0.25),مزه كردن(v;0.25)
sanction|تصويب(n;0.5),فرمان(n;0.5),جواز(n;0.5),فتوا كليسا(n;0.5),تاييد رسمي(n;0.5),دارا مجوز قانوني دانستن(n;0.5),ضمانت اجرا قانون(n;0.5),ضمانت اجرا معين كردن(v;0.5)
sandstone|ماسه سنگ(n;0.75),سنگ ماسه(n;0.5),سنگ ريه(n;0.25),سنگ سياه(n;0.25)
sanitize|مطابق اصل بهداشت كردن(v;0.75),از رو اصل هداشتن عمل كردن(v;0.5)
sanity|عاقلي(n;0.75),خوشفكري(n;0.5)
sapwood|برنچوب نرم وزندن پوست درخت(n;0.5)
satirical|هزلي(j;0.5)
satisfaction|رضايت(n;0.75),رضامندي(n;0.5),ارضا(n;0.5),اقناع(n;0.25),خوشنودي(n;0.25),خرسندي(n;0.25),خوشحالي(n;0.25)
satisfactory|رضايتبخش(j;0.75),خرسند كردن(j;0.25),ميانه(j;0.25)
satisfied|راضي(j;0.75),خوشنود(j;0.5),سير(j;0.25),خشنود(j;0.5),خرسند(j;0.5),سيرچشم(j;0.25)
satisfy|خوشنود كردن(v;0.5),خشنود ساختن(v;0.5),اقناع شدن(v;0.5),خرسند كردن(v;0.5),راضي كردن(v;0.5),خشنود كردن(v;0.5),قانع كردن(v;0.5)
saturday|روز شنبه(n;0.75)
saudi|عربستان(n;0.75)
saunter|پرسه زدن(v;0.75),ولگردي كردن(v;0.75),گردش(n;0.75)
saussure|سوسور(n;0.75)
save|نجات(n;0.75),نگاه داشتن(v;0.5),نجارت دادن(v;0.25),رها بخشيدن(v;0.25),اندوختن(v;0.25),پس انداز كردن(v;0.25),پس انداختن(v;0.25),فقط بجز(n;0.25),بجز اينكه(n;0.25),فقط بجز(n;0.25)
saving|پس انداز(n;0.5),نجارت دادن(n;0.25),رستگار كردن(j;0.25)
saw|اره(n;0.75),ضرب المثل(n;0.5),مثال(n;0.25),لغت يا جمله ضربالمثل(n;0.25),امثال و حكم(n;0.25),هراسبابي شبيه اره(n;0.25),منشار(n;0.25),ديدن(v;0.5)
sawing|اره(n;0.75)
saxophonist|نوازدن ساكسوفون(n;0.75)
say|حرف(n;0.5),اظهار(n;0.5),نوبت حرف زدن(n;0.25),عقيدن(n;0.25),گفتن(v;0.5),اظهار داشتن(v;0.25),حرف زدن(v;0.25),سخن گفتن(v;0.25),صحبت كردن(v;0.25),بيان كردن(v;0.25)
scaffold|داربست(n;0.75),دار(n;0.5),تخته نديدن(n;0.5),چوب بست(n;0.5),سكوب يا چهار چوب(n;0.5),خاده(n;0.5),تخته نديدن كردن(v;0.5),سكوبزدن(v;0.5),بدار اويختن(v;0.5)
scale|مقياس(n;0.75),اندازه(n;0.5),درجه(n;0.25),ترازو(n;0.5),معيار(n;0.5),كفه ترازو(n;0.25),گام(n;0.25),وزن(n;0.25),پولك يا پوستن بدن جانور(n;0.25),فلس(n;0.25),پوستن(n;0.25),هر چيز پله پله(n;0.25),هر چيز مدرج(n;0.25),پله(n;0.25),مقياس نقشه(n;0.25),وسيله سنجش(n;0.25),خط مقياس(n;0.25),تناسب(n;0.25),نسبت(n;0.25),اعداد رو درجه گرماسنج و غيره(n;0.25),نقشه كشيدن(v;0.25),مقياس گذاشتن(v;0.25),پيمودن(v;0.25),مقياس كردن(v;0.25),توزين كردن(v;0.25)
scandal|رسوا(n;0.75),افتضاح(n;0.5),تهمت(n;0.5),ننگ(n;0.5),تهمت زدن(v;0.25)
scapegoat|كسيكه قرباني ديگر شدن(n;0.75),بز طليعه(n;0.75)
scar|اسكار(n;0.75),جا زخم يا سوخته(n;0.5),اثر گناه(n;0.25),شكاف(n;0.25),اثر زخم داشتن(v;0.25),اثر زخم گذاشتن(v;0.25)
scarcity|كميابي(n;0.75)
scary|ترسناك(j;0.75),ترسان(j;0.25)
scenes|صحنه(n;0.75)
schedule|برنامه(n;0.75),جدول(n;0.75),فهرست(n;0.5),صورت(n;0.25),برنامه زماني(n;0.5),جدول زماني(n;0.5),فرانما(n;0.25),زمان نديدن كردن(v;0.25),در برنامه گذاشتن(v;0.25),صورت يا فهرستن ضميمه كردن(v;0.25),برنامه ريزي كردن(v;0.25)
scheme|طرح(n;0.75),برنامه(n;0.75),نقشه(n;0.5),رويه(n;0.5),طرح كلي(n;0.25),ترتيب(n;0.25),تدبير(n;0.25),تمهيد(n;0.25),طرح كردن(v;0.25),نقشه طرح كردن(v;0.25),توطئه چيدن(v;0.25)
scholarly|دانشمندانه(j;0.5),فاضل(j;0.25)
scholarship|دانش(n;0.5),فضل وكمال(n;0.25),تحقيق(n;0.5),فضيلت(n;0.25),كمك هزينه دانشجو(n;0.25),مستمري(n;0.25)
school|مدرسه(n;0.75),مكتب(n;0.75),دبستان(n;0.5),دبيرستان(n;0.5),اموزشگاه(n;0.25),تحصيل در مدرسه(n;0.25),تدريس در مدرسه(n;0.25),مكتب علمي يا فلسفي(n;0.25),دسته(n;0.25),گروه(n;0.25),جماعت همفكر(n;0.25),دسته ماهي(n;0.25),گروه پرنده(n;0.25),تربيت كردن(v;0.25),بمدرسه فرستادن(v;0.25),درس دادن(v;0.25)
schooling|تحصيل(n;0.75),تعليم(n;0.5),تدريس(n;0.5),كسب دانش(n;0.25)
science|علم(n;0.75),دانش(n;0.5),معرفت(n;0.25)
scientific|علمي(j;0.75),وابستن به علم(j;0.25),وابستن علدن(j;0.25)
scientist|دانشمند(n;0.75),عالم(n;0.5)
scoop|حركت شبيه چمچه زني(n;0.75),ملاقه(n;0.5),چمچه(n;0.5),گلوله ستندن(n;0.5),بقدر يك چمچه(n;0.5),خاك انداز(n;0.5),كج بيل(n;0.5),اسباب مخصوص در اوردن چيزي(n;0.5),بيرون اوردن(v;0.5),گود كردن(v;0.5),كندن(v;0.5)
scope|حوزه(n;0.75),قلمرو(n;0.5),وسعت(n;0.5),هدف(n;0.5),نوسان نما(n;0.25),نقطه توجه(n;0.25),طرح نهايي(n;0.25),ازادي عمل(n;0.25),ميدان(n;0.25),ميدان ديدن(n;0.25)
score|امتياز(n;0.75),نمره(n;0.75),نشان(n;0.25),حساب(n;0.25),حساب امتيازه(n;0.25),چوب خط(n;0.25),مارك(n;0.25),نمره امتح(n;0.25),پرداختن(v;0.25),امتياز گرفتن(v;0.25),با چوب خط حساب كردن(v;0.25),حساب كردن(v;0.25),بحساب اوردن(v;0.25),تحقير كردن(v;0.25),ثبت كردن(v;0.25),پوان اورد ن(v;0.25),علامت گذاشتن(v;0.25)
scot|اسكاتلندي(n;0.75),ماليه(n;0.75),باج(n;0.75),ماليه بستن بر(v;0.75)
scotland|اسكاتلند(n;0.75)
scottish|اسكاتلندي(n;0.75)
scour|صيقلي كردن(v;0.75),جستجو كردن(v;0.75),شستن(v;0.5),صابون زدن(v;0.5),تطهير كردن(v;0.5),پرداختن كردن(v;0.5),زدودن(v;0.5),تكاپو كردن(v;0.5)
scrabble|دستمالي كردن(v;0.75),خط خط كردن(v;0.75),سرسري چيز نوشتن(v;0.5),دستمالي(n;0.75),تقلا(n;0.5),تلاش(n;0.25)
scrap|قراضه(n;0.75),تكه(n;0.5),پاره(n;0.5),اوراق(n;0.5),ته ماندن(n;0.5),ماشين اله اوراق(n;0.25),اشغال(n;0.25),جنگ(n;0.25),نزاع(n;0.25),دور انداختن(v;0.25),اوراق كردن(v;0.25)
screen|غربال(n;0.5),پرده(n;0.5),ديوار(n;0.25),سرند(n;0.5),خمار(n;0.25),سپر(n;0.25),پرده سينما(n;0.25),صفحه تلويزيون(n;0.25),تخته حفاظ(n;0.25),تور سيمي(n;0.25),پنجره توري دار(n;0.25),رو پرده افكندن(v;0.25),الك كردن(v;0.25),تور سيمي نصب كردن(v;0.25)
script|خط(n;0.75),سند(n;0.25),متن سند(n;0.25),متن نمايشنامه(n;0.25),حروف الفبا(n;0.25),دست خط(n;0.25),بصورت متن نمايشنامه دراوردن(v;0.25)
scrub|مالش دادن(v;0.75),ماليدن(v;0.5),خراش دادن(v;0.5),خراشيدن(v;0.5),تميز كردن(v;0.5),ستردن(v;0.5),خارستان تيغستان(n;0.5),ادم گمنام(n;0.5),تميز كاري(n;0.5)
scrupulously|با وسواس(n;0.75)
scrutinise|مورد مداقه قرار دادن(v;0.75),موشكافي كردن(v;0.5),بدقت بررسي كردن(v;0.5)
scud|حركت تند و سريع(n;0.75),حركت سريع ابر(n;0.75),سبك رفتن(n;0.5),تند راه رفتن(v;0.75),تكان خوردن(v;0.75)
sculptor|مجسمه ساز(n;0.75),حجار(n;0.5),پيكر تراش(n;0.5),تنديس گر(n;0.5)
sdlp|sdlp(n;0.75)
sea|دريا(n;0.75)
seabird|seabird(n;0.75)
seal|مهر(n;0.75),خاتم(n;0.5),نشان(n;0.5),سوگند ملايم(n;0.25),خوك ابي(n;0.25),گوساله ماهي(n;0.25),تضمين(n;0.25),بستن(v;0.5),مهر و موم كردن(v;0.5),مهر زدن(v;0.25),محكم چسباندن(v;0.25),مهر كردن(v;0.25),صحه گذاشتن(v;0.25),درزگيري كردن(v;0.25),بتونه كاري كردن(v;0.25)
search|جستجو(n;0.75),طلب(n;0.25),كاوش(n;0.5),تجسس(n;0.25),بازرسي(n;0.5),سراغ(n;0.25),تكاپو(n;0.25),پژوهيدن(v;0.25),پوييدن(v;0.25),جستجو كردن(v;0.25),گشتن(v;0.25),بازرسي كردن(v;0.25),بادقت جستجو كردن(v;0.25),طلب كردن(v;0.25),طلبيدن(v;0.25)
season|فصل(n;0.75),هنگام(n;0.25),دوران(n;0.25),چاشني زدن(v;0.25),ادويه زدن(v;0.25)
seat|صندلي(n;0.75),جا(n;0.5),مقر(n;0.5),محل اقامت(n;0.25),مسند(n;0.5),جايگاه(n;0.5),مركز(n;0.5),نيمكت(n;0.5),نشيمن(n;0.5),نشيمن گاه(n;0.25),سرين(n;0.25),كفل(n;0.25),مدار(n;0.25),مستقر(n;0.25),شاندن(v;0.25),جايگزين ساختن(v;0.25)
second|دوم(j;0.75),دومي(j;0.5),مجدد(j;0.25),ثانيه(n;0.5),لحظه(n;0.5),تاييد كردن(v;0.25),درجه دوم بودن(v;0.25),دوم شدن(v;0.25),پشتيباني كردن(v;0.25)
secondary|دوم(j;0.75),ثانو(j;0.75),فرعي(j;0.5),ثانيو(j;0.25),كمكي(j;0.25),حاكي از زمان گذشتن(j;0.25)
